ticker,announcement_date,record_date,pay_date,dividend_type,amount_per_share,currency
EABL,28-July-2022,15-Sep-2022,30-Oct-2022,Final,7.25,KES
CTUM,26-July-2022,,,FInal,0.587,KES
CTUM,14-Jul-2025,09-Oct-2025,19-Dec-2025,Final,0.32,KES
CGEN,13-Aug-2025,02-Sep-2025,15-Sep-2025,Interim,0.30,KES
ABSA,12-Aug-2025,19-Sep-2025,15-Oct-2025,Interim,0.20,KES
KCB,13-Aug-2025,03-Sep-2025,11-Nov-2025,Interim,4.00,KES
NCBA,29-Aug-2025,18-Sep-2025,02-Oct-2025,Interim,2.50,KES
JUB,29-Aug-2025,5-Sep-2025,09-Oct-2025,Interim,2.00,KES
BOC,,20-Sep-2025,14-Oct-2025,Interim,2.50,KES
SCBK,20-Aug-2025,11-Sep-2025,07-Oct-2025,Interim,8.00,KES
BAT,20-July-2022,12-Aug-2022,16-Sep-2022,Interim,5.00,KES
WTK,01-July-2022,29-Jul-2022,,Final,20.00,KES
KAPC,01-July-2022,29-Jul-2022,,Final,10.00,KES
SCOM,,29-Jul-2022,31-Aug-2022,Final,0.75,KES
CRWN,,28-Jun-2022,15-Aug-2022,Final,4.00,KES
BAMB,,26-May-2022,26-Jul-2022,Final,3.58,KES
BOC,,27-May-2022,19-Jul-2022,Final,2.90,KES
NMG,,16-Jun-2022,29-Jul-2022,FInal,1.50,KES
TOTL,,30-Jun-2022,31-Jul-2022,Final,1.31,KES
JUB,,22-Jun-2022,25-Jul-2022,Special,5.00,KES
JUB,,22-Jun-2022,25-Jul-2022,Final,8.00,KES
KNRE,,17-Jun-2022,29-Jul-2022,Final,0.10,KES
BKG,,22-Jun-2022,01-Jul-2022,Final,28.7,RWF
FAHR,,08-Apr-2022,30-Apr-2022,Final,0.50,KES
IMH,,21-Apr-2022,26-May-2022,Final,1.50,KES
NSE,,03-Jun-2022,15-Jul-2022,Final,0.40,KES
NSE,,03-Jun-2022,15-Jul-2022,Special,0.50,KES
UMME,,24-Jun-2022,22-Jul-2022,Final,54.10,USH
DTK,,,,Final,3.00,KES
NCBA,,29-Apr-2022,05-May-2022,Final,2.25,KES
KUKZ,,31-May-2022,30-Jun-2022,Final,22.00,KES
EQTY,,20-May-2022,30-Jun-2022,Final,3.00,KES
COOP,,30-May-2022,17-Jun-2022,Final,1.00,KES
KCB,,25-Apr-2022,,Final,2.00,KES
ABSA,,25-Apr-2022,26-May-2022,Final,1.10,KES
SCBK,,27-Apr-2022,25-May-2022,Final,14.00,KES
SBIC,03-Mar-2022,20-May-2022,,Final,7.30,KES
SCOM,25-Feb-2022,17-Mar-2022,31-Mar-2022,Interim,0.64,KES
BAT,18-Feb-2022,22-Apr-2022,24-May-2022,Final,50.00,KES
SASN,11-Jan-2022,,15-Mar-2022,Final,0.50,KES
CGEN,06-Jan-2022,,24-Mar-2022,Final,3.20,KES
KEGN,01-Nov-2021,,10-Feb-2022,Final,0.30,KES
SBIC,07-Aug-2025,02-Sep-2025,29-Sep-2025,Interim,3.80,KES
EABL,30-Jul-2025,16-Sep-2025,28-Oct-2025,Final,5.50,KES
BAT,24-Jul-2025,29-Aug-2025,26-Sep-2025,Final,10.00,KES
KAPC,27-Jun-2025,31-Jul-2025,02-Sep-2025,Final,25.00,KES
WTK,27-Jun-2025,31-Jul-2025,02-Sep-2025,Final,10.00,KES
TPSE,14-May-2025,26-Jun-2025,30-Jul-2025,Final,0.35,KES
SCOM,09-May-2025,31-Jul-2025,31-Aug-2025,Final,0.65,KES
CRWN,30-Apr-2025,20-Jun-2025,30-Jun-2025,Final,3.00,KES
CGEN,30-Apr-2025,29-May-2025,19-Jun-2025,Final,0.80,KES
TOTL,30-Apr-2025,27-Jun-2025,31-Jul-2025,Final,1.92,KES
JUB, 04-Apr-2025,28-May-2025,25-Jul-2025,Final,11.50,KES
KCB,13-Mar-2025,03-Apr-2025,,Final,1.50,KES
KNRE,28-Mar-2025,,,Final,0.15,KES
LBTY,26-Mar-2025,,,Special,0.60,KES
LBTY,26-Mar-2025,,,Final,1.00,KES
IMH,26-Mar-2025,16-Apr-2025,22-May 2025,Final,1.70,KES
NCBA,26-Mar-2025,30-Apr-2025,28-May-2025,Final,3.25,KES
