ticker,missing_date
BAW.JO,2026-02-05
BKETNC.JO,2026-02-05
COH.JO,2026-02-05
MUR.JO,2026-02-05
NEWSLV.JO,2026-02-05
REN.JO,2026-02-05
RTOP.JO,2026-02-05
