ticker,missing_date
ABG.JO,2026-02-11
BAW.JO,2026-02-11
COH.JO,2026-02-11
MUR.JO,2026-02-11
NVETNQ.JO,2026-02-11
NVS.JO,2026-02-11
REN.JO,2026-02-11
RTOP.JO,2026-02-11
TKG.JO,2026-02-11
TON.JO,2026-02-11
