ticker,missing_date
AFT.JO,2026-02-09
AON.JO,2026-02-09
BAW.JO,2026-02-09
COH.JO,2026-02-09
IOC.JO,2026-02-09
ISA.JO,2026-02-09
MUR.JO,2026-02-09
PAETNQ.JO,2026-02-09
REN.JO,2026-02-09
RTOP.JO,2026-02-09
TON.JO,2026-02-09
